x,y,layer1,layer2,voltage1,voltage2,current
1088.08,2246.72,INT2__SIGN_,INT3__SIGN_,0.00273341,0.00273341,-0
1088.08,2246.72,INT3__SIGN_,INT4__PWR_,0.00273341,0.00273341,-6.09483e-16
1088.08,2246.72,INT4__PWR_,BOTTOM_LAYER,0.00273341,0.00273341,-0
1088.08,2295.93,TOP_LAYER,INT1__GND_,0.00273402,0.00273402,-0
1088.08,2295.93,INT1__GND_,INT2__SIGN_,0.00273402,0.00273402,-0
1088.08,2295.93,INT2__SIGN_,INT3__SIGN_,0.00273402,0.00273402,-2.25899e-15
1088.08,2295.93,INT3__SIGN_,INT4__PWR_,0.00273402,0.00273402,-6.09483e-16
1088.08,2295.93,INT4__PWR_,BOTTOM_LAYER,0.00273402,0.00273402,-0
1088.08,2345.14,TOP_LAYER,INT1__GND_,0.00273463,0.00273463,-0
1088.08,2345.14,INT1__GND_,INT2__SIGN_,0.00273463,0.00273463,-0
1088.08,2345.14,INT2__SIGN_,INT3__SIGN_,0.00273463,0.00273463,-2.25899e-15
1088.08,2345.14,INT3__SIGN_,INT4__PWR_,0.00273463,0.00273463,-6.09483e-16
1088.08,2345.14,INT4__PWR_,BOTTOM_LAYER,0.00273463,0.00273463,-0
1088.08,2394.36,TOP_LAYER,INT1__GND_,0.00273587,0.00273587,-0
1088.08,2394.36,INT1__GND_,INT2__SIGN_,0.00273587,0.00273587,-1.82845e-15
1088.08,2394.36,INT2__SIGN_,INT3__SIGN_,0.00273587,0.00273587,-2.25899e-15
1088.08,2394.36,INT3__SIGN_,INT4__PWR_,0.00273587,0.00273587,-6.09483e-16
1088.08,2394.36,INT4__PWR_,BOTTOM_LAYER,0.00273587,0.00273587,-0
1088.08,2443.57,TOP_LAYER,INT1__GND_,0.00273649,0.00273649,-0
1088.08,2443.57,INT1__GND_,INT2__SIGN_,0.00273649,0.00273649,-6.09483e-16
1088.08,2443.57,INT2__SIGN_,INT3__SIGN_,0.00273649,0.00273649,-0
1088.08,2443.57,INT3__SIGN_,INT4__PWR_,0.00273649,0.00273649,-6.09483e-16
1088.08,2443.57,INT4__PWR_,BOTTOM_LAYER,0.00273649,0.00273649,-0
1088.08,2492.78,TOP_LAYER,INT1__GND_,0.00273712,0.00273712,-0
1088.08,2492.78,INT1__GND_,INT2__SIGN_,0.00273712,0.00273712,-0
1088.08,2492.78,INT2__SIGN_,INT3__SIGN_,0.00273712,0.00273712,-2.25899e-15
1088.08,2492.78,INT3__SIGN_,INT4__PWR_,0.00273712,0.00273712,-6.09483e-16
1088.08,2492.78,INT4__PWR_,BOTTOM_LAYER,0.00273712,0.00273712,-0
1088.08,2542,TOP_LAYER,INT1__GND_,0.00273775,0.00273775,-0
1088.08,2542,INT1__GND_,INT2__SIGN_,0.00273775,0.00273775,-6.09483e-16
1088.08,2542,INT2__SIGN_,INT3__SIGN_,0.00273775,0.00273775,-0
1088.08,2542,INT3__SIGN_,INT4__PWR_,0.00273775,0.00273775,-6.09483e-16
1088.08,2542,INT4__PWR_,BOTTOM_LAYER,0.00273775,0.00273775,-0
1088.08,2591.21,TOP_LAYER,INT1__GND_,0.00273903,0.00273903,-0
1088.08,2591.21,INT1__GND_,INT2__SIGN_,0.00273903,0.00273903,-6.09483e-16
1088.08,2591.21,INT2__SIGN_,INT3__SIGN_,0.00273903,0.00273903,-0
1088.08,2591.21,INT3__SIGN_,INT4__PWR_,0.00273903,0.00273903,-6.09483e-16
1088.08,2591.21,INT4__PWR_,BOTTOM_LAYER,0.00273903,0.00273903,-0
1088.08,2640.42,TOP_LAYER,INT1__GND_,0.00273968,0.00273968,-0
1088.08,2640.42,INT1__GND_,INT2__SIGN_,0.00273968,0.00273968,-6.09483e-16
1088.08,2640.42,INT2__SIGN_,INT3__SIGN_,0.00273968,0.00273968,-0
1088.08,2640.42,INT3__SIGN_,INT4__PWR_,0.00273968,0.00273968,-6.09483e-16
1088.08,2640.42,INT4__PWR_,BOTTOM_LAYER,0.00273968,0.00273968,-0
1088.08,2689.63,TOP_LAYER,INT1__GND_,0.00274033,0.00274033,-0
1088.08,2689.63,INT1__GND_,INT2__SIGN_,0.00274033,0.00274033,-0
1088.08,2689.63,INT2__SIGN_,INT3__SIGN_,0.00274033,0.00274033,-2.25899e-15
1088.08,2689.63,INT3__SIGN_,INT4__PWR_,0.00274033,0.00274033,-6.09483e-16
1088.08,2689.63,INT4__PWR_,BOTTOM_LAYER,0.00274033,0.00274033,-0
1088.08,2738.85,TOP_LAYER,INT1__GND_,0.00274099,0.00274099,-0
1088.08,2738.85,INT1__GND_,INT2__SIGN_,0.00274099,0.00274099,-6.09483e-16
1088.08,2738.85,INT2__SIGN_,INT3__SIGN_,0.00274099,0.00274099,-0
1088.08,2738.85,INT3__SIGN_,INT4__PWR_,0.00274099,0.00274099,-6.09483e-16
1088.08,2738.85,INT4__PWR_,BOTTOM_LAYER,0.00274099,0.00274099,-0
1088.08,2788.06,TOP_LAYER,INT1__GND_,0.00274233,0.00274233,-0
1088.08,2788.06,INT1__GND_,INT2__SIGN_,0.00274233,0.00274233,-6.09483e-16
1088.08,2788.06,INT2__SIGN_,INT3__SIGN_,0.00274233,0.00274233,-0
1088.08,2788.06,INT3__SIGN_,INT4__PWR_,0.00274233,0.00274233,-6.09483e-16
1088.08,2788.06,INT4__PWR_,BOTTOM_LAYER,0.00274233,0.00274233,-0
1088.08,2837.27,TOP_LAYER,INT1__GND_,0.00274301,0.00274301,-0
1088.08,2837.27,INT1__GND_,INT2__SIGN_,0.00274301,0.00274301,-6.09483e-16
1088.08,2837.27,INT2__SIGN_,INT3__SIGN_,0.00274301,0.00274301,-0
1088.08,2837.27,INT3__SIGN_,INT4__PWR_,0.00274301,0.00274301,-6.09483e-16
1088.08,2837.27,INT4__PWR_,BOTTOM_LAYER,0.00274301,0.00274301,-0
1088.08,2886.48,TOP_LAYER,INT1__GND_,0.00274369,0.00274369,-0
1088.08,2886.48,INT1__GND_,INT2__SIGN_,0.00274369,0.00274369,-0
1088.08,2886.48,INT2__SIGN_,INT3__SIGN_,0.00274369,0.00274369,-2.25899e-15
1088.08,2886.48,INT3__SIGN_,INT4__PWR_,0.00274369,0.00274369,-6.09483e-16
1088.08,2886.48,INT4__PWR_,BOTTOM_LAYER,0.00274369,0.00274369,-0
1088.08,2935.7,TOP_LAYER,INT1__GND_,0.00274438,0.00274438,-0
1088.08,2935.7,INT1__GND_,INT2__SIGN_,0.00274438,0.00274438,-6.09483e-16
1088.08,2935.7,INT2__SIGN_,INT3__SIGN_,0.00274438,0.00274438,-0
1088.08,2935.7,INT3__SIGN_,INT4__PWR_,0.00274438,0.00274438,-6.09483e-16
1088.08,2935.7,INT4__PWR_,BOTTOM_LAYER,0.00274438,0.00274438,-0
1088.08,2984.91,TOP_LAYER,INT1__GND_,0.0027458,0.0027458,-0
1088.08,2984.91,INT1__GND_,INT2__SIGN_,0.0027458,0.0027458,-0
1088.08,2984.91,INT2__SIGN_,INT3__SIGN_,0.0027458,0.0027458,-2.25899e-15
1088.08,2984.91,INT3__SIGN_,INT4__PWR_,0.0027458,0.0027458,-6.09483e-16
1088.08,2984.91,INT4__PWR_,BOTTOM_LAYER,0.0027458,0.0027458,-0
1088.08,3034.12,TOP_LAYER,INT1__GND_,0.00274651,0.00274651,-0
1088.08,3034.12,INT1__GND_,INT2__SIGN_,0.00274651,0.00274651,-0
1088.08,3034.12,INT2__SIGN_,INT3__SIGN_,0.00274651,0.00274651,-2.25899e-15
1088.08,3034.12,INT3__SIGN_,INT4__PWR_,0.00274651,0.00274651,-6.09483e-16
1088.08,3034.12,INT4__PWR_,BOTTOM_LAYER,0.00274651,0.00274651,-0
1088.08,3083.33,TOP_LAYER,INT1__GND_,0.00274723,0.00274723,-0
1088.08,3083.33,INT1__GND_,INT2__SIGN_,0.00274723,0.00274723,-0
1088.08,3083.33,INT2__SIGN_,INT3__SIGN_,0.00274723,0.00274723,-2.25899e-15
1088.08,3083.33,INT3__SIGN_,INT4__PWR_,0.00274723,0.00274723,-6.09483e-16
1088.08,3083.33,INT4__PWR_,BOTTOM_LAYER,0.00274723,0.00274723,-0
1088.08,3132.55,TOP_LAYER,INT1__GND_,0.00274796,0.00274796,-0
1088.08,3132.55,INT1__GND_,INT2__SIGN_,0.00274796,0.00274796,-6.09483e-16
1088.08,3132.55,INT2__SIGN_,INT3__SIGN_,0.00274796,0.00274796,-0
1088.08,3132.55,INT3__SIGN_,INT4__PWR_,0.00274796,0.00274796,-6.09483e-16
1088.08,3132.55,INT4__PWR_,BOTTOM_LAYER,0.00274796,0.00274796,-0
1088.08,3181.76,TOP_LAYER,INT1__GND_,0.00274944,0.00274944,-0
1088.08,3181.76,INT1__GND_,INT2__SIGN_,0.00274944,0.00274944,-1.82845e-15
1088.08,3181.76,INT2__SIGN_,INT3__SIGN_,0.00274944,0.00274944,-2.25899e-15
1088.08,3181.76,INT3__SIGN_,INT4__PWR_,0.00274944,0.00274944,-6.09483e-16
1088.08,3181.76,INT4__PWR_,BOTTOM_LAYER,0.00274944,0.00274944,-0
1088.08,3230.97,TOP_LAYER,INT1__GND_,0.00275018,0.00275018,-0
1088.08,3230.97,INT1__GND_,INT2__SIGN_,0.00275018,0.00275018,-6.09483e-16
1088.08,3230.97,INT2__SIGN_,INT3__SIGN_,0.00275018,0.00275018,-0
1088.08,3230.97,INT3__SIGN_,INT4__PWR_,0.00275018,0.00275018,-6.09483e-16
1088.08,3230.97,INT4__PWR_,BOTTOM_LAYER,0.00275018,0.00275018,-0
1088.08,3280.18,TOP_LAYER,INT1__GND_,0.00275093,0.00275093,-0
1088.08,3280.18,INT1__GND_,INT2__SIGN_,0.00275093,0.00275093,-6.09483e-16
1088.08,3280.18,INT2__SIGN_,INT3__SIGN_,0.00275093,0.00275093,-0
1088.08,3280.18,INT3__SIGN_,INT4__PWR_,0.00275093,0.00275093,-6.09483e-16
1088.08,3280.18,INT4__PWR_,BOTTOM_LAYER,0.00275093,0.00275093,-0
